Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
.,org.pdfsam.merge,MergeModule,MergeModule,6,1,3
.,org.pdfsam.merge,MergeModule,descriptor,3,1,0
.,org.pdfsam.merge,MergeModule,onSaveWorkspace,6,1,1
.,org.pdfsam.merge,MergeModule,onLoadWorkspace,6,1,1
.,org.pdfsam.merge,MergeModule,getBuilder,8,1,1
.,org.pdfsam.merge,MergeModule,settingPanel,7,1,0
.,org.pdfsam.merge,MergeModule,id,3,1,0
.,org.pdfsam.merge,MergeModule,onClearModule,6,2,1
.,org.pdfsam.merge,MergeModule,graphic,3,1,0
.,org.pdfsam.merge,MergeModule,destinationFileField,3,1,0
.,org.pdfsam.merge,MergeModule,destinationPane,3,1,2
.,org.pdfsam.merge,MergeModule,footer,3,1,2
.,org.pdfsam.merge,MergeModule,openButton,3,1,0
.,org.pdfsam.merge,ModuleConfig,destinationFileField,3,1,0
.,org.pdfsam.merge,ModuleConfig,destinationPane,3,1,2
.,org.pdfsam.merge,ModuleConfig,footer,3,1,2
.,org.pdfsam.merge,ModuleConfig,openButton,3,1,0
.,org.pdfsam.merge,MergeOptionsPane,MergeOptionsPane,47,1,0
.,org.pdfsam.merge,MergeOptionsPane,resetView,8,1,0
.,org.pdfsam.merge,MergeOptionsPane,apply,8,1,2
.,org.pdfsam.merge,MergeOptionsPane,saveStateTo,8,1,1
.,org.pdfsam.merge,MergeOptionsPane,restoreStateFrom,8,1,1
.,org.pdfsam.merge,MergeParametersBuilder,addInput,9,2,1
.,org.pdfsam.merge,MergeParametersBuilder,hasInput,3,1,0
.,org.pdfsam.merge,MergeParametersBuilder,outlinePolicy,3,1,1
.,org.pdfsam.merge,MergeParametersBuilder,blankPageIfOdd,3,1,1
.,org.pdfsam.merge,MergeParametersBuilder,footer,3,1,1
.,org.pdfsam.merge,MergeParametersBuilder,normalize,3,1,1
.,org.pdfsam.merge,MergeParametersBuilder,acroFormsPolicy,3,1,1
.,org.pdfsam.merge,MergeParametersBuilder,tocPolicy,3,1,1
.,org.pdfsam.merge,MergeParametersBuilder,output,3,1,1
.,org.pdfsam.merge,MergeParametersBuilder,build,15,1,0
.,org.pdfsam.merge,MergeSelectionPane,MergeSelectionPane,3,1,1
.,org.pdfsam.merge,MergeSelectionPane,apply,12,2,2
.,org.pdfsam.merge,MergeOptionsPaneTest,setUp,4,1,0
.,org.pdfsam.merge,MergeOptionsPaneTest,start,6,1,1
.,org.pdfsam.merge,MergeOptionsPaneTest,validSteps,11,1,0
.,org.pdfsam.merge,MergeOptionsPaneTest,onSaveWorkspace,11,1,0
.,org.pdfsam.merge,MergeOptionsPaneTest,restoreStateFrom,22,1,0
.,org.pdfsam.merge,MergeOptionsPaneTest,reset,29,1,0
.,org.pdfsam.merge,MergeParametersBuilderTest,build,30,1,0
.,org.pdfsam.merge,MergeSelectionPaneTest,setUp,5,1,0
.,org.pdfsam.merge,MergeSelectionPaneTest,empty,5,1,0
.,org.pdfsam.merge,MergeSelectionPaneTest,emptyByZeroPagesSelected,7,1,0
.,org.pdfsam.merge,MergeSelectionPaneTest,emptyPageSelection,9,1,0
.,org.pdfsam.merge,MergeSelectionPaneTest,notEmptyPageSelection,10,1,0
.,org.pdfsam.merge,MergeSelectionPaneTest,converstionException,7,1,0
.,org.pdfsam.merge,MergeSelectionPaneTest,populate,6,1,0
