Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
.,org.pdfsam.rotate,RotateModule,RotateModule,7,1,4
.,org.pdfsam.rotate,RotateModule,descriptor,3,1,0
.,org.pdfsam.rotate,RotateModule,getBuilder,9,1,1
.,org.pdfsam.rotate,RotateModule,onSaveWorkspace,7,1,1
.,org.pdfsam.rotate,RotateModule,onLoadWorkspace,7,1,1
.,org.pdfsam.rotate,RotateModule,settingPanel,11,1,0
.,org.pdfsam.rotate,RotateModule,id,3,1,0
.,org.pdfsam.rotate,RotateModule,onClearModule,7,2,1
.,org.pdfsam.rotate,RotateModule,graphic,3,1,0
.,org.pdfsam.rotate,RotateModule,destinationDirectoryField,3,1,0
.,org.pdfsam.rotate,RotateModule,destinationPane,3,1,2
.,org.pdfsam.rotate,RotateModule,footer,3,1,2
.,org.pdfsam.rotate,RotateModule,openButton,3,1,0
.,org.pdfsam.rotate,RotateModule,prefixPane,3,1,1
.,org.pdfsam.rotate,ModuleConfig,destinationDirectoryField,3,1,0
.,org.pdfsam.rotate,ModuleConfig,destinationPane,3,1,2
.,org.pdfsam.rotate,ModuleConfig,footer,3,1,2
.,org.pdfsam.rotate,ModuleConfig,openButton,3,1,0
.,org.pdfsam.rotate,ModuleConfig,prefixPane,3,1,1
.,org.pdfsam.rotate,RotateOptionsPane,RotateOptionsPane,15,1,0
.,org.pdfsam.rotate,RotateOptionsPane,resetView,4,1,0
.,org.pdfsam.rotate,RotateOptionsPane,apply,4,1,2
.,org.pdfsam.rotate,RotateOptionsPane,saveStateTo,4,1,1
.,org.pdfsam.rotate,RotateOptionsPane,restoreStateFrom,4,1,1
.,org.pdfsam.rotate,RotateParametersBuilder,addInput,37,9,2
.,org.pdfsam.rotate,RotateParametersBuilder,accept,7,3,1
.,org.pdfsam.rotate,RotateParametersBuilder,accept,7,3,1
.,org.pdfsam.rotate,RotateParametersBuilder,hasInput,3,1,0
.,org.pdfsam.rotate,RotateParametersBuilder,output,3,1,1
.,org.pdfsam.rotate,RotateParametersBuilder,prefix,3,1,1
.,org.pdfsam.rotate,RotateParametersBuilder,getOutput,3,1,0
.,org.pdfsam.rotate,RotateParametersBuilder,getPrefix,3,1,0
.,org.pdfsam.rotate,RotateParametersBuilder,rotation,3,1,1
.,org.pdfsam.rotate,RotateParametersBuilder,rotationType,3,1,1
.,org.pdfsam.rotate,RotateParametersBuilder,build,10,1,0
.,org.pdfsam.rotate,RotateSelectionPane,RotateSelectionPane,3,1,1
.,org.pdfsam.rotate,RotateSelectionPane,apply,12,2,2
.,org.pdfsam.rotate,RotateOptionsPaneTest,start,6,1,1
.,org.pdfsam.rotate,RotateOptionsPaneTest,validSteps,8,1,0
.,org.pdfsam.rotate,RotateOptionsPaneTest,onSaveWorkspace,6,1,0
.,org.pdfsam.rotate,RotateOptionsPaneTest,restoreStateFrom,10,1,0
.,org.pdfsam.rotate,RotateOptionsPaneTest,reset,13,1,0
.,org.pdfsam.rotate,RotateParametersBuilderTest,setUp,8,1,0
.,org.pdfsam.rotate,RotateParametersBuilderTest,buildDefaultSelection,20,1,0
.,org.pdfsam.rotate,RotateParametersBuilderTest,buildRanges,14,1,0
.,org.pdfsam.rotate,RotateParametersBuilderTest,buildMultiple,11,1,0
.,org.pdfsam.rotate,RotateSelectionPaneTest,setUp,5,1,0
.,org.pdfsam.rotate,RotateSelectionPaneTest,empty,5,1,0
.,org.pdfsam.rotate,RotateSelectionPaneTest,emptyPageSelection,9,1,0
.,org.pdfsam.rotate,RotateSelectionPaneTest,notEmptyPageSelection,10,1,0
.,org.pdfsam.rotate,RotateSelectionPaneTest,converstionException,7,1,0
.,org.pdfsam.rotate,RotateSelectionPaneTest,emptyByZeroPagesSelected,7,1,0
.,org.pdfsam.rotate,RotateSelectionPaneTest,populate,6,1,0
